ligname	1-4_eel_avg	1-4_eel_se	1-4_vdw_avg	1-4_vdw_se	angle_avg	angle_se	bond_avg	bond_se	dihed_avg	dihed_se	edisper_avg	edisper_se	eel_avg	eel_se	vdwaals_avg	vdwaals_se	egb_avg	egb_se	esurf_avg	esurf_se	gb_tot_avg	gb_tot_se	jan-id	Kd-exp	expt-dg	expt-err	q	N	site
l1	4.300001186265945e-06	7.187504969212371e-06	4.3200998334214085e-14	5.3932657803859705e-06	6.99999995674716e-07	7.6061358113378995e-06	5.000000081523125e-07	9.358024594804872e-06	2.0000009207876698e-07	1.022614335360556e-05	0.0	0.0	-22.243267099999603	2.887011424932316	-26.080173599999984	1.4393747198432445	30.0406492000002	2.4409638918657293	0.0	0.0	-18.282785800000077	1.753947886672708	LDHA12	0.0007700000000000001	-4.24589	0.1	0	15	Adenine
l2	2.200000464966933e-06	7.419445042986162e-06	1.0000003591414954e-07	7.334861467967695e-06	3.999999790913478e-06	7.72398193333538e-06	1.2999999381513303e-06	6.778270131842182e-06	1.10000002162991e-06	7.579854816481537e-06	0.0	0.0	-7.376385600000322	3.4972469788979383	-20.203483599999753	2.475025842205025	15.180335100000086	2.7969436635672364	0.0	0.0	-12.399525400000096	1.967272993288641	LDHA14	0.0042	-3.24117	0.1	0	12	Adenine
l3	1.4999998916209734e-06	7.609349951127084e-06	-5.268674385661144e-14	7.1502480200405135e-06	9.999997196530332e-08	8.055551008490184e-06	7.000000442047847e-07	8.58695826283401e-06	3.3000000508565114e-06	7.98821679224992e-06	0.0	0.0	-22.07082310000003	1.2625694599013038	-24.40915289999986	0.471434074017889	29.802990700000034	1.1113298201018755	0.0	0.0	-16.676979700000135	0.5785867335895928	LDHA15	0.00079	-4.23071	0.1	0	14	Adenine
l4	9.000000839876066e-07	9.346877324010542e-06	2.3000000174278062e-06	7.5102661511365405e-06	1.7000001790279385e-06	6.944773531269991e-06	3.000000956987492e-07	9.398841894779957e-06	-2.099999911635564e-06	9.319146836072578e-06	0.0	0.0	-128.04702639999948	20.606239867493787	-27.834935700000177	1.0874989394658636	138.69190949999992	17.93325953479215	0.0	0.0	-17.19004949999967	2.765867565745372	LDHA16	0.0005	-4.5016099999999994	0.1	0	18	Adenine
l5	5.99999533843487e-07	7.598904670361482e-06	-3.100000102342904e-06	7.2936334410663926e-06	1.2000001120782145e-06	7.485000152445665e-06	-1.8999999775104469e-06	1.03919711047415e-05	-9.999999207366273e-08	6.143058103047166e-06	0.0	0.0	-129.44123789999958	23.76858688518989	-32.37287419999978	1.0968523642379115	140.2354108000001	20.195029907323715	0.0	0.0	-21.578704600000048	5.2539614452575485	LDHA17	4e-05	-5.99747	0.1	0	21	Adenine
l6	-1.4999997499276496e-06	5.95485669346127e-06	2.4000000693291668e-06	6.417338330120825e-06	-2.900000161787375e-06	7.238240049074596e-06	3.000000321762286e-07	6.214213301512066e-06	8.000003356301021e-07	8.13758481227173e-06	0.0	0.0	-126.24598550000078	17.612586856699316	-31.586952999999863	1.3308554553019811	138.16996000000015	15.587321873425324	0.0	0.0	-19.66297939999972	2.7707742952062846	LDHA18	0.00013000000000000002	-5.29942	0.1	0	21	Adenine
l7	-4.999993757337506e-07	6.4609453629251195e-06	2.299999965140742e-06	5.6911972253124165e-06	2.299999777761741e-06	6.213745977508445e-06	-1.3999999094238544e-06	6.196933049517047e-06	1.5999999455473811e-06	8.151512043624068e-06	0.0	0.0	-366.15280650000136	16.585055565840367	-4.655514400000073	0.9340593018731786	334.27986069999986	13.538327370277937	0.0	0.0	-36.52845589999962	6.9708107397420624	LDHA19	0.005	-3.1379099999999998	0.1	-2	7	Substrate
l8	-7.000006615243136e-07	7.158691931086348e-06	-1.5999999399340938e-06	9.377607432057744e-06	-9.999991185338787e-08	8.44559571835535e-06	-1.9999993590147365e-07	7.141213445356842e-06	7.999996980601055e-07	9.26781187927385e-06	0.0	0.0	-355.6764385000006	18.619127344101802	-21.161755199999906	1.349438319782858	325.70621960000005	16.04109779328242	0.0	0.0	-51.13197590000014	4.95475293692168	LDHA20	0.00021	-4.8716099999999996	0.1	-2	15	Substrate
l9	5.999994050398527e-07	5.845572086849272e-06	3.999999047010761e-07	8.409942886613349e-06	2.1000000650417404e-06	6.803648191542113e-06	-2.49999998310102e-06	8.890701268362308e-06	-1.100000387381783e-06	7.811796357123745e-06	0.0	0.0	-380.3009591999977	14.253597312830612	-24.952051699999906	1.2079803067577817	345.91799550000013	12.620146411453293	0.0	0.0	-59.33501589999978	4.375916030859332	LDHA21	0.00028	-4.84501	0.1	-2	18	Substrate
l10	-8.999993519864801e-07	5.143303714661868e-06	-5.975664407742443e-14	6.4382051886236155e-06	3.20000000527898e-06	8.131061834596881e-06	2.9999992943174905e-07	1.0352148102341865e-05	3.000001621700221e-07	7.5925276386414735e-06	0.0	0.0	-37.47712649999941	2.822498162831391	-31.395424099999904	0.9745208410363776	45.68934300000005	1.7916378028683992	0.0	0.0	-23.18320469999966	1.975723382641684	LDHA22	0.0007700000000000001	-4.24589	0.1	-2	19	Adenine
