replica	frame	1-4_eel	1-4_vdw	angle	bond	dihed	ecavity	edisper	eel	epb	vdwaals	egb	esurf	pb_tot	gb_tot
1	1	14293.0028	1183.3608	2543.6332	951.2818	3487.3304	74.6098	0.0	-22927.4752	-3404.144	-2553.8826	-3107.5094	0.0	-6352.282999999998	-6130.2582
1	2	14311.0022	1150.4033	2532.0887	922.8229	3486.8693	75.5818	0.0	-22966.0435	-3407.0257	-2512.6831	-3102.0148	0.0	-6406.9841000000015	-6177.555
1	3	14254.0825	1167.9458	2552.963	931.5391	3483.7266	73.5918	0.0	-22993.8785	-3363.7299	-2554.3657	-3055.8561	0.0	-6448.125299999999	-6213.843299999997
1	4	14303.7604	1150.0409	2467.5836	926.642	3495.4659	72.3354	0.0	-23053.2171	-3330.4453	-2551.6344	-3017.6867	0.0	-6519.468600000006	-6279.045400000006
1	5	14257.0602	1156.1824	2517.4375	909.1848	3499.6891	72.6246	0.0	-23004.0499	-3343.8442	-2535.3031	-3027.5203	0.0	-6471.018600000003	-6227.319300000003
1	6	14304.8705	1173.5672	2486.0749	955.7653	3472.5963	73.248	0.0	-23093.0386	-3299.884	-2511.6039	-2989.0735	0.0	-6438.404299999998	-6200.841799999998
1	7	14257.2531	1160.541	2586.5113	930.5587	3476.2361	74.1886	0.0	-22985.0051	-3372.4143	-2478.1341	-3062.7154	0.0	-6350.2647	-6114.754400000002
1	8	14243.9745	1157.4865	2519.9397	915.8361	3465.6772	73.8085	0.0	-23013.6396	-3314.6855	-2513.0232	-2984.8914	0.0	-6464.625799999999	-6208.640199999998
1	9	14335.0674	1158.7886	2559.6092	916.8525	3492.1481	73.61	0.0	-23128.9981	-3315.169	-2536.8991	-3018.9072	0.0	-6444.990400000002	-6222.338600000003
1	10	14270.9846	1142.7577	2630.8044	939.2551	3497.8545	74.6748	0.0	-23097.4694	-3290.4359	-2537.2239	-2957.0971	0.0	-6368.798099999998	-6110.134099999999
1	11	14282.4146	1154.0778	2516.0563	902.3219	3457.4188	73.7861	0.0	-23085.9301	-3258.0036	-2531.3743	-2919.8451	0.0	-6489.232500000002	-6224.860100000002
1	12	14286.4316	1156.7535	2588.2722	875.685	3479.1332	74.5116	0.0	-23103.9996	-3282.0867	-2538.5548	-2953.39	0.0	-6463.854000000001	-6209.668899999997
1	13	14282.4774	1153.8003	2558.6835	925.7729	3492.8435	75.7229	0.0	-22935.4117	-3445.7487	-2510.2889	-3090.7361	0.0	-6402.148799999999	-6122.8591000000015
1	14	14245.0093	1133.2705	2563.6391	933.4364	3459.0711	74.9994	0.0	-22976.4822	-3365.0703	-2518.3787	-3063.0796	0.0	-6450.505399999998	-6223.514099999997
1	15	14253.2801	1151.5154	2534.9001	965.3063	3514.3331	73.707	0.0	-23047.8745	-3276.0553	-2555.3388	-2976.8348	0.0	-6386.226600000004	-6160.7131000000045
1	16	14233.9523	1162.1532	2582.5948	919.0736	3464.3154	74.2807	0.0	-22886.9216	-3401.2321	-2522.9412	-3088.3331	0.0	-6374.724900000003	-6136.106600000003
1	17	14296.3517	1167.0036	2616.6101	926.1041	3483.7797	75.1344	0.0	-23027.5065	-3320.4187	-2517.4016	-3023.2001	0.0	-6300.343200000004	-6078.259000000002
1	18	14295.4967	1166.5873	2528.5411	918.997	3498.1913	74.9812	0.0	-23009.5076	-3364.9382	-2531.7802	-3045.4803	0.0	-6423.4313999999995	-6178.954700000002
1	19	14360.3553	1143.4503	2528.0068	945.0895	3526.2881	75.2237	0.0	-22932.6122	-3500.5913	-2511.2759	-3198.0175	0.0	-6366.065699999999	-6138.7155999999995
1	20	14267.7967	1145.4448	2539.0719	920.0089	3491.2673	74.5648	0.0	-22907.0744	-3442.3731	-2539.7383	-3116.8627	0.0	-6451.031400000002	-6200.085800000001
1	21	14259.7107	1169.1533	2567.4638	904.2979	3462.4299	75.0655	0.0	-22905.2806	-3435.7533	-2548.5585	-3107.2469	0.0	-6451.471299999997	-6198.0304
1	22	14365.4906	1161.0542	2517.3599	910.5338	3475.7683	76.7337	0.0	-23008.4537	-3433.7276	-2553.3945	-3115.7355	0.0	-6488.635299999998	-6247.376899999999
1	23	14338.2994	1177.862	2581.1586	933.4241	3434.1638	76.2865	0.0	-23067.1245	-3406.1209	-2505.6729	-3092.1829	0.0	-6437.723900000001	-6200.072400000001
1	24	14299.7668	1166.4086	2545.1291	962.9235	3481.6533	76.2282	0.0	-23018.7193	-3370.2275	-2510.4955	-3012.9791	0.0	-6367.332800000002	-6086.312600000001
1	25	14345.7898	1171.0275	2537.0922	920.5961	3477.7534	75.2925	0.0	-23081.6759	-3322.9322	-2545.7197	-2998.4488	0.0	-6422.776299999998	-6173.585399999996
1	26	14240.0477	1128.881	2586.1582	924.3391	3449.5057	75.3713	0.0	-22829.3609	-3498.6319	-2499.0104	-3178.3304	0.0	-6422.700199999999	-6177.769999999997
1	27	14294.3146	1154.5937	2600.3887	935.9941	3478.7626	74.5771	0.0	-22953.8949	-3402.831	-2543.7227	-3072.1579	0.0	-6361.817800000001	-6105.721799999999
1	28	14326.662	1163.6654	2515.5402	964.4097	3452.2216	76.1413	0.0	-22994.8741	-3394.0935	-2517.2279	-3099.2051	0.0	-6407.555299999999	-6188.8081999999995
