replica	frame	1-4_eel	1-4_vdw	angle	bond	dihed	ecavity	edisper	eel	epb	vdwaals	egb	esurf	pb_tot	gb_tot
1	1	13747.4671	1179.2986	2577.9155	941.5573	3493.1584	72.5479	0.0	-22958.3506	-3268.1424	-2562.9649	-2935.8685	0.0	-6777.513100000001	-6517.787100000001
1	2	13783.9249	1182.9062	2635.1276	923.6233	3499.8694	72.4243	0.0	-22958.4143	-3284.8262	-2571.5251	-2927.1928	0.0	-6716.889900000003	-6431.680800000002
1	3	13731.7101	1153.4516	2605.6302	980.6992	3490.0344	73.3847	0.0	-22945.4764	-3252.2452	-2563.4717	-2929.0159	0.0	-6726.283100000001	-6476.4385
1	4	13756.8142	1146.5755	2604.2222	966.6725	3480.1046	72.6127	0.0	-22924.6671	-3256.3148	-2580.4771	-2919.729	0.0	-6734.457299999998	-6470.484199999999
1	5	13812.3179	1160.0251	2504.8463	956.949	3486.8145	72.5193	0.0	-22991.4067	-3257.177	-2529.3573	-2938.8772	0.0	-6784.468899999996	-6538.688399999995
1	6	13781.0393	1154.803	2543.9608	956.3243	3491.6647	73.7143	0.0	-22877.3093	-3320.5445	-2574.5852	-2992.8709	0.0	-6770.932599999998	-6516.973299999998
1	7	13806.4685	1161.4046	2581.1127	916.0973	3496.825	72.1472	0.0	-22930.3749	-3312.7155	-2602.9551	-2980.8045	0.0	-6811.990199999999	-6552.2264
1	8	13837.9243	1164.8956	2554.9561	929.7892	3495.9518	72.7165	0.0	-22843.906	-3424.475	-2583.6667	-3082.3944	0.0	-6795.814199999997	-6526.450099999998
1	9	13820.8422	1164.7238	2598.9691	888.3898	3538.2389	72.2953	0.0	-22909.1817	-3379.3041	-2576.2871	-3008.0693	0.0	-6781.3138	-6482.374300000003
1	10	13824.4104	1178.9041	2593.2363	960.2374	3488.4345	72.7552	0.0	-22898.4134	-3379.0063	-2594.7193	-3011.2844	0.0	-6754.161100000003	-6459.194400000004
1	11	13758.2864	1179.3869	2625.3565	979.1165	3490.9861	74.1615	0.0	-22788.6275	-3414.6997	-2578.7313	-3066.5765	0.0	-6674.764599999999	-6400.802900000002
1	12	13789.3921	1157.9547	2551.6084	934.9119	3498.0951	74.1636	0.0	-22891.7336	-3365.3852	-2556.0042	-3035.8859	0.0	-6806.997200000002	-6551.661500000002
1	13	13820.5032	1194.9657	2569.9364	931.816	3512.0973	72.3498	0.0	-22890.0298	-3308.4465	-2578.6695	-2942.3659	0.0	-6675.477399999998	-6381.746599999999
1	14	13748.775	1162.8242	2597.5728	925.753	3494.8095	71.7076	0.0	-22871.5587	-3318.6042	-2644.038	-2955.9177	0.0	-6832.758800000001	-6541.779900000005
1	15	13802.4151	1159.2681	2626.0009	955.0808	3503.7835	72.8183	0.0	-22946.9919	-3319.0178	-2554.906	-2997.9203	0.0	-6701.549000000002	-6453.269800000002
1	16	13692.5636	1146.0807	2580.6151	956.8259	3494.7065	72.171	0.0	-22934.553	-3254.3152	-2611.3048	-2884.6205	0.0	-6857.210200000002	-6559.6865
