replica	frame	1-4_eel	1-4_vdw	angle	bond	dihed	ecavity	edisper	eel	egb	epb	esurf	vdwaals	pb_tot	gb_tot
1	1.0	-478.0182	8.6377	18.5369	4.8934	9.3745	3.0102	0.0	201.9397	-24.2673	-25.8901	0.0	-2.1727	-259.6886	-261.076
1	2.0	-477.1969	8.6824	13.7578	5.0926	12.7306	3.0296	0.0	202.6069	-28.0039	-29.6151	0.0	-2.7887	-263.7008000000001	-265.1192000000001
1	3.0	-471.0719	7.9736	16.264	7.6505	9.8122	3.0633	0.0	200.0978	-28.6231	-29.7602	0.0	-2.9159	-258.8866000000001	-260.8128000000001
1	4.0	-478.3695	7.8909	19.6631	5.9934	14.2258	3.0214	0.0	206.102	-27.8795	-29.9031	0.0	-2.654	-254.03000000000003	-255.02780000000004
1	5.0	-483.6873	8.6038	20.3341	7.4121	16.6923	3.0166	0.0	206.6776	-26.7431	-28.459	0.0	-3.6788	-253.0886	-254.38930000000002
1	6.0	-476.429	6.8543	15.7544	10.2173	10.9997	3.0405	0.0	201.6126	-25.42	-27.4985	0.0	-2.3435	-257.7922	-258.75419999999997
1	7.0	-481.5964	7.5638	15.4217	5.7841	11.3541	3.0549	0.0	207.1955	-28.7262	-30.545	0.0	-3.5101	-265.2774	-266.5135
1	8.0	-481.5099	8.359	18.3066	13.2751	12.444	2.9974	0.0	202.405	-22.9944	-24.9555	0.0	-2.7347	-251.413	-252.44930000000002
1	9.0	-483.7838	9.2589	20.0549	9.0154	13.0049	3.029	0.0	206.9565	-27.237	-29.2541	0.0	-3.5887	-255.30700000000002	-256.31890000000004
1	10.0	-479.6431	7.7423	14.1533	6.9641	10.7591	3.0477	0.0	203.1817	-25.35	-26.7492	0.0	-2.7739	-263.31800000000004	-264.9665
1	11.0	-477.3437	9.9281	18.9993	8.3059	11.9161	3.0363	0.0	201.084	-26.6497	-28.3973	0.0	-2.9572	-255.4285	-256.71720000000005
1	12.0	-479.9022	6.8209	19.7142	7.1362	12.2816	3.0091	0.0	201.4799	-23.8609	-25.2442	0.0	-3.4753	-258.17980000000006	-259.8056
1	13.0	-474.7537	7.7729	13.7034	7.5554	15.1585	3.0146	0.0	203.7061	-28.49	-29.9641	0.0	-3.305	-257.1119	-258.65239999999994
1	14.0	-483.803	7.6767	24.7924	5.0691	13.038	3.0016	0.0	205.6962	-23.5399	-24.7519	0.0	-3.1206	-252.40150000000003	-254.1911
1	15.0	-483.1656	8.5007	15.328	6.7336	11.5219	2.9886	0.0	205.9111	-24.651	-27.2709	0.0	-0.5064	-259.95899999999995	-260.3277
1	16.0	-483.9367	8.128	19.2689	6.8168	12.3586	3.0433	0.0	206.5181	-26.92	-29.0257	0.0	-3.4	-260.2287	-261.1663
1	17.0	-471.4496	8.6738	17.3407	9.5781	12.4611	3.0319	0.0	198.1408	-26.4944	-27.8299	0.0	-3.2296	-253.28270000000003	-254.97910000000002
1	18.0	-485.2966	8.7878	18.4175	7.3119	11.7329	3.0104	0.0	209.1386	-27.5016	-29.359	0.0	-3.4382	-259.6947	-260.84770000000003
1	19.0	-484.4462	9.4665	18.9454	9.4203	15.554	3.0519	0.0	206.8734	-26.6096	-28.9747	0.0	-3.1785	-253.2879	-253.97469999999998
1	20.0	-483.2648	8.6685	17.235	10.0655	11.7478	3.0321	0.0	207.2706	-27.0999	-29.3401	0.0	-2.988	-257.5734	-258.36529999999993
1	21.0	-475.4205	8.9704	18.0558	3.4746	12.1473	3.0149	0.0	198.823	-24.7508	-26.7518	0.0	-2.039	-259.7253	-260.73920000000004
