	1-4_eel	1-4_vdw	angle	bond	dihed	ecavity	edisper	eel	epb	vdwaals	egb	esurf	pb_tot	gb_tot
0	-490.1992375000001	8.4287925	19.3597775	8.04781	11.403877500000002	2.982415	0.0	212.52363750000004	-24.148267500000003	-2.3377224999999995	-21.843739999999993	0.0	-253.93891750000003	-254.61680499999994
1	-489.91820999999993	8.15228	18.43635	8.768605000000003	11.620135000000001	2.9767149999999996	0.0	212.62636749999996	-24.0202175	-2.164075	-21.678215	0.0	-253.52205000000004	-254.15676249999996
2	-490.13553999999993	8.364875	17.482889999999994	8.808992500000004	11.5321725	2.9770750000000006	0.0	212.60019500000004	-24.130272500000007	-2.0160924999999996	-21.650394999999996	0.0	-254.51570499999997	-255.01290249999997
3	-489.1613225000002	8.269432499999999	19.0354875	8.614537499999999	10.777942500000004	2.9877374999999997	0.0	212.1332875	-24.7945325	-2.4236724999999995	-22.384735	0.0	-254.5611025	-255.13904249999996
4	-491.11784000000006	8.4124175	18.633855000000004	8.41084	11.3068075	2.9757675000000003	0.0	214.02263750000006	-24.577705	-2.5773224999999997	-22.134670000000003	0.0	-254.5105425	-255.043275
5	-489.44848500000006	8.121375000000002	18.46022	7.8209675	11.052257500000001	2.9780549999999995	0.0	212.29328999999998	-23.81276	-2.2808825	-21.530504999999998	0.0	-254.8159625	-255.5117624999999
6	-489.56349750000015	8.17549	18.422199999999997	10.186885000000002	11.0665625	2.9815700000000005	0.0	212.71686499999996	-25.355287499999996	-2.4932925	-22.6958775	0.0	-253.86250500000006	-254.18466499999994
7	-488.72706749999986	8.121617499999997	18.613247499999996	8.781707500000003	11.230279999999999	2.9822024999999996	0.0	212.46227000000005	-24.966984999999998	-2.5104700000000006	-22.64414	0.0	-254.01319750000002	-254.67255499999996
8	-491.20195749999993	7.853275000000002	17.9748425	8.441245	11.111489999999996	2.9756725	0.0	213.54477749999995	-24.127067500000003	-2.2691025	-21.766715	0.0	-255.69682500000008	-256.312145
9	-490.0430175	8.342670000000002	18.741745	8.500187500000003	11.940599999999995	2.979087499999999	0.0	212.45156999999995	-23.961799999999997	-2.3214675	-21.684175	0.0	-253.37042499999993	-254.07188750000006
10	-489.96732499999996	8.342805	18.571525	8.0823225	11.076694999999997	2.9776949999999998	0.0	212.5688475000001	-24.275502499999998	-2.3090175	-21.95698000000001	0.0	-254.93195499999996	-255.5911274999999
11	-491.09361999999993	8.215039999999997	19.531617500000003	8.2769075	11.190925000000004	2.972205	0.0	213.32610000000005	-24.1749175	-2.1825175	-21.8127525	0.0	-253.93825999999999	-254.5483
12	-488.6129825000001	8.087697499999999	18.3535975	7.8094899999999985	11.031507499999996	2.9834149999999995	0.0	211.8981675	-24.440502499999997	-2.5399599999999998	-22.1320725	0.0	-255.42957000000007	-256.10455500000006
13	-490.2674925	8.16246	18.06896500000001	7.565077499999999	11.097315	2.9679475	0.0	213.0515125	-23.485439999999993	-1.8906074999999998	-21.26312	0.0	-254.73026250000004	-255.47589000000002
14	-487.2802425	8.100697500000003	18.917845000000007	8.889040000000003	11.359479999999998	2.9969875000000004	0.0	211.96954	-26.273777499999994	-2.8277125000000005	-23.8449025	0.0	-254.14814250000003	-254.7162549999999
15	-489.65249250000016	8.223670000000002	18.6284925	9.429969999999997	11.795164999999999	2.9816650000000005	0.0	212.51275250000003	-24.539814999999997	-2.428865	-22.12926	0.0	-253.04945750000002	-253.62056750000002
16	-490.2833599999999	8.18157	18.072117500000004	8.56284	11.338019999999998	2.986505	0.0	212.93316750000002	-24.415915000000002	-2.282505	-22.032522500000006	0.0	-254.90756000000005	-255.5106725
17	-489.61656250000004	8.1843875	17.98951999999999	8.4451375	11.373915	2.9876075	0.0	212.12831	-23.8448375	-2.3220925	-21.648612500000002	0.0	-254.67461500000007	-255.46599750000001
18	-490.4758075000001	8.182455000000003	18.273999999999997	8.03417	10.68779	2.973580000000001	0.0	212.77549249999998	-23.433277500000006	-2.2882100000000003	-21.187519999999996	0.0	-255.26980749999998	-255.99763
19	-488.28536000000014	8.139550000000003	18.446675000000003	8.092122499999999	11.6951225	2.986175	0.0	211.61852000000005	-24.411170000000006	-2.466455	-22.149792500000004	0.0	-254.18482000000003	-254.90961750000005
20	-488.9980474999999	8.182815	18.081990000000008	7.9768	11.49602	2.9834424999999998	0.0	211.9562725	-24.289962500000005	-2.3373925	-21.932777500000007	0.0	-254.94806250000005	-255.57432
21	-489.19518749999986	8.110947499999998	18.254935	8.247262499999998	10.841404999999998	2.9801525	0.0	212.05299	-24.033607500000006	-2.2751024999999996	-21.704122500000004	0.0	-255.01620499999996	-255.66687250000004
22	-489.97258249999993	8.163895	18.872682499999993	8.501482500000003	11.260090000000002	2.9754925000000005	0.0	212.4319125	-24.100339999999996	-2.1907550000000002	-21.761445000000002	0.0	-254.05812250000008	-254.69472000000005
23	-490.15515500000004	8.156142499999998	18.96922999999999	8.514735000000002	11.6170175	2.990570000000001	0.0	212.70406499999999	-24.25601749999999	-2.3204225000000003	-21.942505	0.0	-253.7798350000001	-254.4568925
24	-489.4993900000001	8.291272500000002	17.925445000000003	8.3599325	11.591227500000004	2.9716875	0.0	212.20822500000003	-23.9317675	-2.3077524999999994	-21.597427500000002	0.0	-254.39112000000014	-255.02846749999995
