replica	frame	1-4_eel	1-4_vdw	angle	bond	dihed	ecavity	edisper	eel	epb	vdwaals	egb	esurf	pb_tot	gb_tot
1	1	-330.3689	15.6169	32.9175	11.599	19.1885	4.2035	0.0	253.3449	-247.1165	-3.3667	-247.3075	0.0	-243.98180000000002	-248.37630000000004
1	2	-341.3337	12.6414	32.6361	19.7317	21.5424	4.2377	0.0	269.6498	-249.3935	-4.3837	-250.8611	0.0	-234.67180000000002	-240.37710000000004
1	3	-333.6791	15.5912	26.0542	15.6948	19.4391	4.1802	0.0	255.6514	-243.9	-4.6366	-243.2694	0.0	-245.60479999999998	-249.15439999999992
1	4	-325.5515	15.7471	24.0422	8.3782	16.8222	4.201	0.0	258.3719	-246.0574	-5.1964	-245.0341	0.0	-249.24270000000007	-252.42040000000003
1	5	-335.1952	14.2464	38.8577	10.9989	18.2844	4.2211	0.0	256.0217	-245.4854	-5.1993	-246.5467	0.0	-243.2497	-248.53209999999996
1	6	-334.4319	18.2958	32.0992	10.7417	19.4312	4.1894	0.0	262.4632	-245.942	-1.6864	-245.7469	0.0	-234.83980000000003	-238.83410000000006
1	7	-328.0793	14.5657	32.4046	12.0197	18.8608	4.1925	0.0	250.5765	-241.5051	-6.0295	-242.7666	0.0	-242.9941	-248.4481
1	8	-326.4796	14.1882	35.9839	9.3259	20.1915	4.2709	0.0	248.1435	-245.7713	-5.4671	-246.1725	0.0	-245.61409999999998	-250.28620000000004
1	9	-337.5356	14.8024	36.333	17.5287	24.3933	4.2141	0.0	258.6236	-245.2357	-3.3299	-244.2437	0.0	-230.20610000000005	-233.4282
1	10	-332.6856	15.6408	42.2804	10.3781	19.5821	4.2398	0.0	263.4685	-247.8203	-4.4588	-247.6971	0.0	-229.37500000000003	-233.49159999999998
1	11	-333.3614	13.3941	47.5082	10.9484	19.3453	4.2482	0.0	249.8495	-243.7814	-6.4054	-245.7912	0.0	-238.25450000000006	-244.51250000000005
1	12	-341.4882	16.4313	32.9159	13.8328	23.2688	4.1927	0.0	266.2571	-247.1459	-6.1371	-246.9042	0.0	-237.87260000000003	-241.82360000000003
1	13	-321.0996	14.8956	36.1297	13.1713	21.9314	4.238	0.0	245.2003	-243.7267	-5.9289	-244.4725	0.0	-235.1889	-240.1727
1	14	-330.8161	11.7531	39.6987	13.2696	16.0329	4.274	0.0	258.4582	-247.4332	-5.2298	-249.1916	0.0	-239.99260000000004	-246.02500000000003
1	15	-316.3568	15.6345	31.5475	14.4832	16.5185	4.2326	0.0	242.6744	-246.8126	-4.2923	-247.6609	0.0	-242.37100000000004	-247.45190000000002
1	16	-335.629	14.6265	38.9821	12.8242	20.269	4.2388	0.0	255.7465	-242.8767	-5.1481	-243.7271	0.0	-236.96669999999997	-242.0559
1	17	-324.6954	14.2905	28.3745	10.0016	21.3014	4.2588	0.0	249.9128	-243.2326	-4.8051	-244.0498	0.0	-244.59349999999998	-249.6695
1	18	-327.3923	17.9176	34.1095	17.2541	21.3669	4.1771	0.0	250.1033	-243.0461	-4.2165	-243.1548	0.0	-229.72639999999998	-234.01219999999998
1	19	-326.9775	15.3652	39.1606	18.2331	16.0989	4.1897	0.0	247.7893	-240.77	-3.6289	-241.2443	0.0	-230.5396	-235.20360000000002
1	20	-336.5557	13.885	38.2999	11.2652	18.7559	4.2328	0.0	258.7097	-242.393	-4.4325	-243.2509	0.0	-238.2327	-243.3234
1	21	-331.4853	15.7819	32.3495	13.4524	22.0803	4.2677	0.0	259.0943	-246.1747	-4.4234	-245.9349	0.0	-235.0573	-239.0852
1	22	-335.0569	14.8857	28.7103	11.5486	20.931	4.2537	0.0	265.4428	-248.7461	-3.3054	-248.7001	0.0	-241.33630000000002	-245.54400000000004
1	23	-331.3736	17.0713	37.8883	11.9442	27.2712	4.2391	0.0	254.9941	-245.2646	-5.8227	-245.5748	0.0	-229.0527	-233.602
1	24	-336.7645	13.8278	38.3517	13.6057	17.6211	4.2261	0.0	254.7036	-242.6697	-2.8168	-242.7931	0.0	-239.915	-244.26449999999997
1	25	-341.4985	16.4723	34.0513	13.4267	18.2819	4.2343	0.0	260.3553	-244.6553	-3.1999	-244.4761	0.0	-242.53189999999995	-246.58699999999996
1	26	-323.3197	13.7244	25.7902	13.3918	16.6975	4.2356	0.0	255.2998	-247.0946	-5.1987	-247.4262	0.0	-246.47369999999998	-251.0409
1	27	-318.5083	12.1386	29.9933	15.893	16.3196	4.2725	0.0	245.4977	-242.0275	-5.6223	-243.7243	0.0	-242.0434	-248.01270000000002
1	28	-332.3581	12.9076	37.3419	15.2501	17.6513	4.2324	0.0	252.3866	-242.4489	-3.0093	-243.4015	0.0	-238.04640000000003	-243.2314
1	29	-330.2915	15.3748	30.6377	19.289	20.0438	4.2625	0.0	253.4138	-243.9493	-3.3979	-244.2677	0.0	-234.6171	-239.19799999999998
1	30	-337.0548	14.2221	35.9994	10.9884	20.0328	4.2538	0.0	265.5076	-250.38	-4.6274	-249.5452	0.0	-241.05809999999994	-244.47709999999995
1	31	-331.2862	13.248	33.6036	14.0532	16.6254	4.2716	0.0	257.6261	-247.0163	-5.1395	-247.6987	0.0	-244.01409999999998	-248.96809999999996
1	32	-331.5924	14.1394	38.7136	16.394	21.2971	4.2707	0.0	256.5849	-248.8824	-4.8112	-249.1947	0.0	-233.8863	-238.4693
1	33	-338.6475	15.2106	39.4007	15.4468	23.3249	4.2561	0.0	263.5862	-251.259	-6.1593	-252.3265	0.0	-234.8404999999999	-240.1640999999999
1	34	-332.4315	14.5797	36.1262	19.5366	14.2871	4.2192	0.0	252.9603	-245.8979	-3.6745	-245.9991	0.0	-240.29480000000004	-244.61520000000004
1	35	-328.4447	14.089	33.2185	16.7737	21.1446	4.2275	0.0	248.2152	-241.5988	-3.6052	-242.554	0.0	-235.98020000000002	-241.16290000000004
1	36	-335.2368	15.6266	35.3107	9.321	21.8072	4.2486	0.0	256.1455	-243.5785	-5.4592	-244.2423	0.0	-241.81490000000005	-246.7273
1	37	-338.0457	16.5795	35.84	11.375	17.2807	4.2234	0.0	262.3515	-245.7365	-4.1925	-245.6303	0.0	-240.32460000000006	-244.44180000000003
1	38	-325.2461	13.4522	30.782	15.1493	20.7928	4.1998	0.0	254.7006	-245.4176	-3.0589	-245.4175	0.0	-234.64589999999998	-238.84559999999996
1	39	-344.3096	15.9851	37.1348	9.2849	19.2617	4.2203	0.0	266.0518	-244.2624	-4.5036	-243.5891	0.0	-241.137	-244.684
1	40	-332.6695	14.4672	37.9271	12.9706	18.6172	4.2772	0.0	260.6359	-250.4678	-5.6181	-251.0092	0.0	-239.86020000000005	-244.67880000000002
2	1	-325.5849	14.179	33.6867	12.3577	16.5582	4.2499	0.0	254.6351	-246.623	-4.102	-246.2173	0.0	-240.64330000000004	-244.4875
2	2	-322.7758	12.7322	33.5444	17.442	19.4471	4.2256	0.0	248.9118	-244.731	-4.2688	-245.4199	0.0	-235.47250000000003	-240.38700000000003
2	3	-329.8186	14.2591	35.1393	15.062	19.7148	4.2453	0.0	252.4249	-243.757	-3.9747	-244.5457	0.0	-236.70490000000004	-241.73890000000003
2	4	-324.6722	15.9541	31.6524	12.2633	17.3646	4.2009	0.0	249.4189	-242.514	-3.787	-243.7222	0.0	-240.119	-245.52809999999997
2	5	-329.7596	16.4157	33.5351	15.8122	18.0027	4.2071	0.0	255.4447	-243.0166	-4.0896	-242.6476	0.0	-233.44829999999996	-237.28639999999993
2	6	-332.5169	15.7592	29.2495	14.0769	15.9948	4.2199	0.0	254.7823	-241.8652	-3.7148	-242.6136	0.0	-244.0143	-248.9826
2	7	-326.8811	16.7151	29.8937	15.5237	19.6627	4.1656	0.0	251.5471	-243.6241	-4.5794	-243.0529	0.0	-237.5767	-241.17110000000002
2	8	-330.9233	13.8593	33.8935	9.9692	17.309	4.2265	0.0	253.4624	-242.3422	-3.1168	-243.5161	0.0	-243.66239999999993	-249.06279999999992
2	9	-325.8377	15.7135	31.6268	13.2739	15.483	4.2237	0.0	255.5165	-249.7625	-2.6048	-250.2299	0.0	-242.36759999999992	-247.05869999999993
2	10	-335.7328	16.1569	34.2473	11.0548	17.6637	4.2103	0.0	261.4444	-246.8172	-4.7557	-246.796	0.0	-242.5283	-246.7174
2	11	-318.2304	14.6895	31.2939	13.5266	13.8718	4.1929	0.0	244.7935	-243.0242	-3.48	-243.8734	0.0	-242.36639999999997	-247.40849999999998
2	12	-343.1226	16.4366	34.2322	11.8426	17.1338	4.183	0.0	263.6374	-245.1389	-4.4165	-244.5341	0.0	-245.2124	-248.79059999999998
2	13	-335.2521	14.6633	30.9201	10.0686	18.0516	4.248	0.0	257.5204	-240.5578	-6.2194	-241.8156	0.0	-246.5573	-252.0631
2	14	-342.3902	15.3414	33.4421	10.2337	15.5834	4.2023	0.0	263.9158	-245.62	-5.4415	-245.4917	0.0	-250.73299999999998	-254.80700000000002
2	15	-326.7714	14.5891	36.4206	13.1517	23.9265	4.2538	0.0	252.208	-246.0008	-4.2612	-247.3879	0.0	-232.48370000000006	-238.12460000000007
2	16	-334.0539	15.1723	35.3443	22.0628	18.1289	4.2335	0.0	250.0537	-241.468	-4.9276	-242.9608	0.0	-235.454	-241.18030000000002
2	17	-324.6109	14.2467	26.8251	13.2089	19.8193	4.2189	0.0	244.8076	-241.2139	-4.7495	-242.5792	0.0	-247.44780000000006	-253.03200000000007
2	18	-326.9897	16.8853	29.1444	14.6012	13.5806	4.1843	0.0	253.3386	-244.5501	-2.4051	-243.9664	0.0	-242.21050000000002	-245.81110000000004
2	19	-343.0757	14.1997	35.7716	17.1356	20.1536	4.2649	0.0	265.3613	-246.3864	-4.2115	-247.0669	0.0	-236.78689999999997	-241.73229999999998
