replica	frame	1-4_eel	1-4_vdw	angle	bond	dihed	ecavity	edisper	eel	epb	vdwaals	egb	esurf	pb_tot	gb_tot
1	1	14305.3321	1165.7766	2592.7041	931.9016	3474.3803	75.2519	0.0	-22949.3173	-3417.4527	-2527.1209	-3119.3043	0.0	-6348.544300000001	-6125.647799999999
1	2	14264.8153	1174.046	2502.1044	882.2674	3467.2838	74.7742	0.0	-23109.3192	-3265.7718	-2480.8822	-2949.2303	0.0	-6490.6821	-6248.914799999999
1	3	14257.2363	1152.8723	2549.1258	901.3083	3478.7263	74.2032	0.0	-23022.5863	-3322.8794	-2537.9703	-2996.4399	0.0	-6469.963800000002	-6217.727500000001
1	4	14269.9345	1146.2968	2567.4802	939.1924	3454.0958	73.3331	0.0	-23078.0679	-3245.4237	-2546.9732	-2939.4428	0.0	-6420.132000000001	-6187.484199999999
1	5	14179.35	1148.0735	2526.8765	918.6296	3463.9199	75.1118	0.0	-23072.5314	-3235.8682	-2535.5488	-2897.8564	0.0	-6531.9871	-6269.087100000001
1	6	14241.7506	1154.4332	2529.3462	901.2634	3494.3655	73.8897	0.0	-23072.8016	-3256.4993	-2527.3789	-2940.6328	0.0	-6461.631200000001	-6219.654399999999
1	7	14265.5034	1154.6718	2605.0126	933.4304	3489.2266	74.9762	0.0	-23039.6661	-3300.6342	-2546.0287	-2979.3893	0.0	-6363.507999999998	-6117.2392999999975
1	8	14235.022	1142.8252	2533.4063	896.6363	3510.0732	74.4358	0.0	-22956.5218	-3391.0515	-2517.0776	-3068.0419	0.0	-6472.252099999996	-6223.6783
1	9	14237.0622	1154.0468	2577.9842	895.8053	3493.0697	73.9133	0.0	-22842.6019	-3492.8032	-2540.162	-3174.817	0.0	-6443.685600000002	-6199.6127000000015
1	10	14273.9929	1161.1538	2553.9186	930.3726	3459.5621	73.2384	0.0	-23080.4831	-3287.6771	-2531.3694	-2978.3339	0.0	-6447.2912	-6211.186400000002
1	11	14178.3042	1151.6186	2488.2222	923.4937	3506.955	73.6422	0.0	-22805.8743	-3454.4925	-2565.5449	-3132.7896	0.0	-6503.675799999999	-6255.615100000003
