	1-4_eel	1-4_vdw	angle	bond	dihed	ecavity	edisper	eel	epb	vdwaals	egb	esurf	pb_tot	gb_tot
0	2.5000039336475766e-06	1.2500000091897334e-05	2.4999995318353285e-06	5.000000344423938e-06	-4.999999209331918e-06	-3.3496250000000534	0.0	-112.39772249999602	124.64273750000089	-31.80932000000012	125.03831749999988	0.0	-22.913912499998986	-19.168707500000323
1	-4.999997646137899e-06	4.999999825727741e-06	1.2499998845783011e-05	4.9999995894722815e-06	-9.999999605270204e-06	-3.3856750000000084	0.0	-103.08027249999523	115.64416749999872	-31.5325450000004	117.57353249999984	0.0	-22.354317499998942	-17.039277500001404
2	-2.500000302774197e-06	-2.4999996908192657e-06	-6.110667527536862e-13	7.500000047677702e-06	-2.5000003827102546e-06	-3.5342424999999986	0.0	-135.05478499999725	145.99550499999907	-31.65319999999908	146.5285875000019	0.0	-24.246722500000914	-20.179397499998373
3	9.999998412890676e-06	-1.0000000782994789e-05	-1.2499999687776153e-05	9.999999921461722e-06	2.4999995069663328e-06	-3.61525250000001	0.0	-169.2927925000081	178.47973000000155	-32.55185500000011	176.38616000000084	0.0	-26.980170000002573	-25.45848750000171
4	-4.999996473742385e-06	-2.49999984003324e-06	7.500000585025646e-06	-1.2967404927621828e-13	1.0000000361998218e-05	-3.588085000000004	0.0	-144.99979249999404	157.35187749999915	-32.48535500000027	155.64900000000029	0.0	-23.721344999999772	-21.836137499999865
5	1.5000001711840127e-05	-2.327027459614328e-13	-7.4999989720936355e-06	7.500000370086468e-06	-4.999998449051191e-06	-3.6822050000000033	0.0	-181.71972000001955	188.83969500000046	-32.48976499999817	186.79915500000064	0.0	-29.051984999999178	-27.410320000001064
6	-1.0000002598431479e-05	-2.4158453015843406e-13	-5.0000004634398465e-06	-4.999999679178302e-06	7.499998849525014e-06	-3.5330124999999892	0.0	-121.8138424999905	136.34006250000033	-32.95279249999812	135.82782000000077	0.0	-21.95959750000057	-18.938827499998823
7	4.99999275049845e-06	-5.737632591262809e-13	2.5000002707997737e-06	-2.4999998196051365e-06	2.5000010683839946e-06	-3.506310000000004	0.0	-110.90382249999894	124.20506749999892	-31.889845000000456	123.21659249999985	0.0	-22.094902499999733	-19.577067499998464
8	-2.5000098169414287e-06	3.9257486150745535e-13	4.999998608923306e-06	-1.2500000288184765e-05	9.999999969423357e-06	-3.3421349999999936	0.0	-96.94603499999224	108.50387499999952	-31.784722499998676	110.88411500000034	0.0	-23.569017500002587	-17.84664250000023
9	2.5000037897626726e-06	3.765876499528531e-13	4.9999998985583716e-06	-2.744471316873387e-13	-2.2595258997171186e-12	-3.481719999999969	0.0	-119.75405749999359	133.38648250000116	-32.481635000000274	133.43812000000003	0.0	-22.33092250000236	-18.797564999999793
10	1.5000001499565485e-05	-1.2499999894721725e-05	-7.500001338200946e-06	5.000000197874499e-06	-9.999999216248057e-06	-3.5324974999999936	0.0	-174.30533750000484	169.89432750000137	-36.661065000000534	167.98377249999893	0.0	-44.60458249999721	-42.98263999999992
11	5.000002497368428e-06	2.499999577132428e-06	-7.4999997679015e-06	-1.749999964051341e-05	-4.99999995007272e-06	-3.394590000000033	0.0	-117.61455750000367	130.46369500000048	-32.418237499999464	129.75179250000005	0.0	-22.96371250000253	-20.28102499999902
12	-1.0000003545229674e-05	2.4999993284424704e-06	9.999999544874072e-06	-4.999999486443585e-06	2.5000002867869853e-06	-3.6099499999999938	0.0	-130.65238750000856	143.75093249999927	-34.02953499999999	141.09504500000173	0.0	-24.540939999999523	-23.58687750000078
13	-8.29558643999917e-13	-1.092459456231154e-13	5.000001475963245e-06	-2.499999993510471e-05	-1.0000000077781124e-05	-3.3924725000000118	0.0	-104.925922499996	117.54456749999979	-31.226524999999242	118.18488000000077	0.0	-22.00038250000412	-17.9675975000019
14	1.499999865828272e-05	-3.7125857943465235e-13	-7.499999696847226e-06	-5.000000015797923e-06	-5.3290705182007514e-14	-3.5606725000000248	0.0	-127.99308999999532	142.29068249999867	-33.21671249999948	140.85646499999936	0.0	-22.479790000000833	-20.35333500000077
15	-5.000000018462458e-06	-1.0000000054688485e-05	7.5000000236968845e-06	-1.4999999858211766e-05	2.500000842786676e-06	-3.3601199999999993	0.0	-174.9098899999965	179.42845750000032	-31.210335000000597	177.59459750000116	0.0	-30.0519074999996	-28.52564749999985
16	-1.2500004071824833e-05	-5.240252676230739e-13	-4.999998839849695e-06	-1.2500000169168857e-05	2.499999791183427e-06	-3.520717499999988	0.0	-126.20056750000198	137.2634874999994	-32.03896499999934	137.47921750000012	0.0	-24.49679000000225	-20.760342499998416
17	7.500005198224358e-06	-1.2612133559741778e-13	-1.2499999463955191e-05	4.999999880794803e-06	4.999999514865294e-06	-3.4951299999999996	0.0	-145.04545750000509	157.5027125000004	-32.792147499999686	154.87722499999964	0.0	-23.83001749999893	-22.960374999998777
18	-4.99999810088525e-06	-2.4999999945762852e-05	-2.499998842608875e-06	1.499999996212864e-05	7.499999918891831e-06	-3.3700600000000045	0.0	-110.7386250000042	123.61171500000005	-31.681615000000647	124.20806500000012	0.0	-22.17859500000168	-18.21218500000205
19	-2.4999999510555426e-06	-5.000000046884168e-06	5.000000605548394e-06	5.00000036574022e-06	2.4999997094710125e-06	-3.3618124999999863	0.0	-104.91796499999515	119.41686500000114	-31.01946000000072	118.18099749999995	0.0	-19.882367499999063	-17.756422500000582
20	2.5000052037427167e-06	-9.999999851295627e-06	5.000000122379333e-06	9.999999701193474e-06	4.999999703159119e-06	-3.5696075000000063	0.0	-144.80251249998642	152.40697500000095	-31.890835000000052	153.59444999999877	0.0	-27.855967500000332	-23.09888499999795
21	-5.000004000166314e-06	-4.707345624410664e-13	1.0000000258969521e-05	-4.999999694277335e-06	1.085354028873553e-12	-3.4985149999999807	0.0	-118.72789999999985	134.7122800000007	-32.39571250000025	131.9504349999982	0.0	-19.90984750000034	-19.173177500001387
22	-4.999997937460421e-06	-9.99999951822872e-06	1.5000000225029453e-05	9.999999910803581e-06	2.499999094851546e-06	-3.5674050000000195	0.0	-122.2083650000038	137.66031999999868	-32.35179749999977	135.36907750000006	0.0	-20.467234999998794	-19.191072499998086
