replica	frame	1-4_eel	1-4_vdw	angle	bond	dihed	ecavity	edisper	eel	epb	vdwaals	egb	esurf	pb_tot	gb_tot
1	1	-169.5682	8.5828	18.1073	6.0277	10.2653	2.4223	0.0	222.7787	-230.8045	-2.8445	-232.9925	0.0	-135.03310000000002	-139.64340000000004
1	2	-179.7241	9.5005	20.7361	3.4551	9.6891	2.407	0.0	234.1033	-231.2728	-2.2809	-233.5559	0.0	-133.3867	-138.07680000000002
1	3	-174.3578	7.0807	15.0608	5.5231	9.8417	2.4159	0.0	225.186	-230.5571	-3.0406	-233.0496	0.0	-142.8473	-147.7557
1	4	-174.8923	7.7327	14.9024	5.5362	11.529	2.3691	0.0	234.8011	-234.6415	-3.8374	-236.4882	0.0	-136.50070000000002	-140.71650000000002
1	5	-171.8922	8.517	18.4449	7.7615	8.3064	2.3832	0.0	226.2383	-231.7025	-2.0483	-234.1144	0.0	-133.99169999999998	-138.7868
1	6	-172.7951	8.8097	15.6861	4.9607	14.6229	2.3495	0.0	232.3133	-237.5251	-3.9527	-239.644	0.0	-135.5307	-139.9991
1	7	-181.8101	9.7015	28.2928	5.7984	9.8497	2.4038	0.0	228.5936	-228.7905	-2.916	-229.6703	0.0	-128.8768	-132.16039999999998
1	8	-169.4785	9.8635	21.7224	4.1772	10.1932	2.3432	0.0	217.4492	-227.6977	-1.3577	-229.0354	0.0	-132.78520000000003	-136.46610000000004
1	9	-174.0952	8.7543	22.9391	7.9163	10.3627	2.3176	0.0	227.2706	-233.1961	-2.459	-235.7089	0.0	-130.18970000000002	-135.0201
1	10	-171.4942	7.3753	17.5013	4.6779	10.3275	2.4041	0.0	223.0233	-227.3332	-3.7893	-229.8539	0.0	-137.30729999999997	-142.2321
1	11	-178.1137	7.5657	18.6845	4.9555	13.6974	2.4066	0.0	230.0372	-232.4253	-4.4456	-234.6509	0.0	-137.6377	-142.26990000000004
1	12	-174.0059	8.676	17.8315	5.2984	6.0521	2.3993	0.0	225.141	-230.0818	-2.5053	-231.5429	0.0	-141.1947	-145.05510000000004
1	13	-175.4068	8.7528	20.6185	4.1127	9.5825	2.3969	0.0	226.0987	-231.2988	-0.5128	-233.6711	0.0	-135.6563	-140.42549999999997
1	14	-170.0022	8.6968	15.4592	5.9432	7.4945	2.4113	0.0	226.1075	-231.8585	-2.7493	-234.3778	0.0	-138.4975	-143.42810000000003
1	15	-170.2213	8.6386	17.904	4.6898	7.1647	2.3607	0.0	220.6895	-229.5581	-1.555	-231.9992	0.0	-139.8871	-144.6889
1	16	-170.4034	9.3213	17.1469	5.1366	8.7037	2.4069	0.0	226.6949	-230.3784	-3.6743	-231.3956	0.0	-135.04579999999999	-138.4699
1	17	-171.1919	7.6533	20.8155	4.8028	11.934	2.4111	0.0	221.0954	-228.8211	-2.9655	-230.0871	0.0	-134.26639999999998	-137.94349999999997
1	18	-175.3634	6.7653	19.2126	8.8243	6.4698	2.405	0.0	231.9799	-233.0383	-3.2307	-235.1844	0.0	-135.97550000000004	-140.52660000000006
1	19	-177.4368	7.9754	19.5259	5.7364	11.0772	2.392	0.0	230.5369	-231.1826	-2.4268	-232.7627	0.0	-133.80239999999998	-137.7745
1	20	-172.474	8.5238	18.0802	9.9018	9.9715	2.3903	0.0	226.2424	-232.4055	-2.6138	-234.4628	0.0	-132.3833	-136.83089999999999
1	21	-168.7169	9.1459	16.3023	6.3855	14.5951	2.3173	0.0	222.4737	-229.1192	-2.8051	-230.8929	0.0	-129.4214	-133.51239999999999
1	22	-170.6272	8.6753	20.0897	3.0072	10.2743	2.3726	0.0	217.3213	-226.4888	-2.6456	-227.9595	0.0	-138.0212	-141.86449999999996
1	23	-169.8558	8.6286	16.9506	2.874	11.872	2.3935	0.0	224.7177	-232.0075	-3.3095	-233.8985	0.0	-137.73639999999995	-142.0209
1	24	-182.439	8.5823	28.8811	5.7527	7.2607	2.3948	0.0	234.471	-233.0696	-2.6514	-235.1369	0.0	-130.8174	-135.27949999999998
1	25	-176.9649	8.5466	21.2949	6.4992	8.1188	2.3886	0.0	225.504	-228.5103	-2.2026	-230.2988	0.0	-135.32569999999998	-139.50279999999998
1	26	-173.801	8.8866	18.8351	7.3003	4.4906	2.3937	0.0	222.1835	-227.4437	-2.4665	-228.7906	0.0	-139.6214	-143.362
1	27	-177.2616	9.1771	16.7876	4.9236	6.2112	2.4057	0.0	232.0275	-229.6188	-2.2353	-230.8233	0.0	-137.583	-141.1932
1	28	-170.7318	9.2934	14.6989	4.5423	11.6332	2.3822	0.0	227.4207	-232.5402	-2.9904	-234.3192	0.0	-136.2917	-140.4529
1	29	-175.897	8.5291	19.3999	5.4543	8.063	2.401	0.0	226.142	-231.6622	-3.0971	-233.397	0.0	-140.66700000000003	-144.80280000000002
1	30	-165.636	7.1806	25.4736	4.7349	8.6674	2.4117	0.0	219.4416	-232.1261	-3.0723	-234.6568	0.0	-132.9246	-137.86700000000002
1	31	-175.6834	8.7268	21.4892	6.1236	12.1282	2.3781	0.0	230.409	-233.5647	-3.9538	-235.8414	0.0	-131.947	-136.60180000000003
1	32	-167.6181	6.3163	26.8255	8.7135	7.0653	2.4574	0.0	220.0896	-230.6492	-2.7438	-233.299	0.0	-129.5435	-134.65069999999997
1	33	-168.8712	7.5112	20.6393	3.5501	9.6423	2.384	0.0	221.7481	-229.1803	-3.9477	-231.8253	0.0	-136.52419999999998	-141.55319999999998
1	34	-175.7038	6.6774	21.1312	6.0856	11.1388	2.4228	0.0	226.532	-228.8038	-3.4336	-230.826	0.0	-133.9534	-138.39839999999998
1	35	-176.7076	7.935	20.3834	10.1443	10.0668	2.4154	0.0	225.2233	-230.2601	-1.7847	-230.9877	0.0	-132.58419999999998	-135.72719999999998
1	36	-177.3465	8.3482	28.4023	20.6059	11.4957	2.4175	0.0	223.6407	-228.0304	-1.8474	-229.995	0.0	-112.31399999999998	-116.69609999999999
1	37	-176.1801	7.9157	16.6639	5.1446	8.6363	2.4161	0.0	232.1886	-233.1551	-2.5976	-235.717	0.0	-138.9676	-143.9456
1	38	-170.4801	8.703	15.8124	8.6808	10.5474	2.4068	0.0	222.2633	-229.518	-2.8988	-230.9419	0.0	-134.4832	-138.3139
1	39	-170.2804	7.2867	21.5412	5.3343	8.0914	2.4145	0.0	219.3063	-228.6728	-3.2977	-230.3915	0.0	-138.2765	-142.40970000000002
1	40	-169.4412	8.2145	19.4258	6.7142	8.4931	2.3681	0.0	219.9701	-228.9044	-2.1253	-231.0182	0.0	-135.28510000000003	-139.76700000000002
2	1	-178.7369	8.5664	28.1662	6.4634	9.6719	2.3961	0.0	232.974	-233.5858	-3.4107	-236.2436	0.0	-127.49540000000003	-132.54930000000002
2	2	-173.3982	8.717	19.6868	4.2973	8.4017	2.3798	0.0	231.7006	-234.8062	-2.3797	-235.802	0.0	-135.40089999999998	-138.77649999999997
2	3	-165.564	7.146	14.7258	7.6395	10.1507	2.3907	0.0	223.8665	-231.0384	-3.0527	-234.3008	0.0	-133.7359	-139.389
2	4	-172.5771	10.3302	14.8408	5.6046	9.6965	2.3521	0.0	228.361	-233.3009	-1.9114	-234.5959	0.0	-136.60420000000002	-140.2513
2	5	-172.8823	7.171	22.5486	6.4959	13.9484	2.4045	0.0	215.5895	-223.8875	0.2571	-226.3318	0.0	-128.35479999999998	-133.2036
2	6	-172.8141	7.3931	24.9723	8.602	11.0289	2.3984	0.0	222.2633	-230.5082	-1.4911	-232.7916	0.0	-128.1554	-132.8372
2	7	-176.6767	7.935	21.4564	3.2971	6.544	2.4046	0.0	233.8125	-233.1566	-3.8247	-235.2104	0.0	-138.2084	-142.6668
2	8	-170.7925	9.6311	16.0109	8.4661	7.1486	2.3531	0.0	221.4838	-228.8179	0.5281	-229.1207	0.0	-133.9887	-136.6446
2	9	-176.7593	8.3142	21.2212	7.4097	13.0946	2.3775	0.0	228.1031	-230.8688	-1.8279	-233.1511	0.0	-128.93569999999997	-133.59550000000002
2	10	-177.6215	8.2429	21.3038	6.506	9.1876	2.4468	0.0	227.4517	-230.7862	-1.53	-232.5023	0.0	-134.79890000000003	-138.9618
2	11	-171.5792	7.5422	19.7133	7.4633	8.9548	2.397	0.0	223.015	-230.5688	-2.5517	-233.4956	0.0	-135.6141	-140.93789999999998
2	12	-178.2504	8.9846	19.4935	4.0693	10.1828	2.3571	0.0	234.1364	-234.4164	-3.7486	-236.9358	0.0	-137.19170000000003	-142.0682
2	13	-172.1647	8.6432	18.5226	4.8044	6.0366	2.3716	0.0	224.6946	-229.2904	-1.4835	-231.2356	0.0	-137.8656	-142.1824
2	14	-176.0451	7.6395	19.7217	7.3863	7.0735	2.3887	0.0	232.3244	-234.2802	-3.1197	-236.5398	0.0	-136.9109	-141.5592
2	15	-168.351	7.5665	22.0205	6.8232	11.3542	2.4306	0.0	219.2873	-228.5072	-2.4583	-229.9489	0.0	-129.83420000000007	-133.70650000000006
2	16	-169.8655	8.086	15.4339	6.7648	7.2022	2.4025	0.0	222.9764	-229.8913	-1.7322	-231.8549	0.0	-138.62319999999997	-142.98929999999996
2	17	-177.4745	10.1441	12.6732	6.7809	11.5963	2.3599	0.0	231.7196	-231.7333	-2.1623	-233.1416	0.0	-136.09609999999998	-139.8643
2	18	-171.48	11.5269	17.3336	5.1877	12.2886	2.3321	0.0	222.5675	-227.5815	-0.0365	-229.909	0.0	-127.8616	-132.52119999999996
2	19	-174.708	8.2479	15.3136	8.09	9.0202	2.4371	0.0	228.5059	-231.2768	-1.2326	-233.7792	0.0	-135.60270000000003	-140.54220000000004
2	20	-184.4442	8.637	22.4507	8.7378	9.0876	2.4048	0.0	238.9891	-236.8237	-2.7644	-238.1081	0.0	-133.72529999999998	-137.41449999999998
2	21	-175.8613	8.4683	16.6283	8.1967	11.4092	2.3359	0.0	228.5298	-232.0398	-1.5143	-233.8363	0.0	-133.84720000000002	-137.9796
2	22	-175.0313	7.3674	18.2772	5.1358	10.3625	2.3749	0.0	232.2943	-235.7606	-2.592	-238.2746	0.0	-137.5718	-142.46069999999997
2	23	-178.7024	8.2632	19.8997	7.5913	9.1193	2.4267	0.0	229.6916	-232.079	-1.6553	-234.251	0.0	-135.44490000000002	-140.0436
2	24	-183.8484	8.625	25.2649	5.6722	7.1605	2.4228	0.0	235.1597	-233.8667	-1.2345	-235.9528	0.0	-134.6445	-139.15339999999998
2	25	-172.8914	8.8867	25.0198	4.8311	11.0416	2.3637	0.0	229.0774	-232.0515	0.7789	-233.0129	0.0	-122.9437	-126.26880000000003
2	26	-172.181	8.8273	16.2528	5.0697	9.6633	2.3875	0.0	223.651	-230.4524	-2.6782	-232.4389	0.0	-139.46	-143.834
2	27	-164.456	7.7375	17.4236	4.6164	15.3672	2.3229	0.0	218.3708	-229.4531	-4.0382	-232.6084	0.0	-132.10889999999998	-137.58709999999996
2	28	-167.4029	8.7828	14.2973	5.5706	10.1937	2.3663	0.0	218.5739	-225.9285	-2.0455	-227.7011	0.0	-135.5923	-139.73119999999997
2	29	-174.8838	9.1981	29.3761	4.8678	7.5765	2.3954	0.0	227.8599	-231.7599	-2.5969	-233.7373	0.0	-127.96679999999998	-132.3396
2	30	-185.2099	10.5074	24.9228	4.7542	10.1265	2.3665	0.0	234.5244	-230.9278	-0.0411	-231.3791	0.0	-128.977	-131.7948
2	31	-176.1064	8.6014	22.4655	7.8276	11.1286	2.3949	0.0	225.7078	-227.2473	-1.3762	-228.9148	0.0	-126.60409999999997	-130.6665
2	32	-175.542	7.0249	22.0393	5.5045	7.7698	2.4164	0.0	226.8311	-228.1888	-3.4437	-229.9549	0.0	-135.5885	-139.77100000000002
2	33	-188.4834	8.5795	27.1135	5.0156	9.1401	2.395	0.0	238.824	-232.3253	-3.5783	-234.1993	0.0	-133.3193	-137.5883
2	34	-165.7739	7.9624	17.2122	6.7176	9.325	2.3816	0.0	216.4034	-227.1521	-2.8123	-229.216	0.0	-135.73609999999996	-140.1816
2	35	-172.9404	8.1489	19.1721	3.0974	9.1113	2.3833	0.0	220.0256	-227.7439	-2.8747	-229.0046	0.0	-141.62040000000002	-145.26440000000002
2	36	-175.5937	6.8702	17.4426	5.2174	7.4641	2.4147	0.0	226.1721	-228.4601	-0.9666	-230.8064	0.0	-139.4393	-144.2003
2	37	-175.5388	8.6939	18.6556	5.2655	10.5687	2.3909	0.0	226.2311	-229.6576	-2.4119	-231.3312	0.0	-135.8026	-139.8671
2	38	-166.8782	7.0109	23.2784	6.9342	13.9	2.388	0.0	212.4079	-226.1589	-3.4821	-228.3957	0.0	-130.59979999999996	-135.22459999999998
2	39	-177.7111	11.1744	16.2412	10.5567	6.8856	2.3693	0.0	225.4076	-227.7943	-2.3397	-229.1744	0.0	-135.2103	-138.95969999999997
2	40	-176.9804	8.1315	19.2272	4.1172	10.7269	2.3765	0.0	228.3423	-231.2909	-3.0897	-232.5639	0.0	-138.4394	-142.0889
3	1	-175.9342	8.8544	19.4837	6.9181	10.157	2.4067	0.0	226.8064	-227.4741	-0.6597	-229.5784	0.0	-129.44169999999997	-133.95269999999996
3	2	-177.981	7.3147	18.7193	3.6748	10.9377	2.3831	0.0	233.3298	-232.4279	-2.3748	-234.7255	0.0	-136.4243	-141.105
3	3	-185.6172	9.9479	24.8125	1.5695	9.0572	2.3677	0.0	238.84	-231.8291	-2.6941	-233.4149	0.0	-133.54559999999998	-137.49909999999997
